Step Temp v_strain v_sigmaxx v_sigmayy PotEng KinEng Lx Ly Volume
   17800    251.51301       0.0089    0.9610888    2.1429539    -105.4276    1.7880835    8.3623521     8.475512    584.36615
   17900    275.48398      0.00895   -1.3252869    1.0876271   -105.96787    1.9585005    8.2969353    8.4759321    579.82353
   18000    232.64432        0.009   0.33194301    1.7358954   -105.94007    1.6539401     8.448368    8.4763521    590.43551
   18100    234.23832      0.00905   0.74729634    2.0871676   -105.71792    1.6652723    8.3470102    8.4767722    583.38078
   18200    311.19116       0.0091   -1.3646051    1.1924665   -105.69776    2.2123538    8.3633295    8.4771922    584.55031
   18300    306.41891      0.00915   0.98517837    1.8517649   -105.35742    2.1784264    8.4445818    8.4776123    590.25864
   18400    362.09602       0.0092   0.33565099      1.67948   -105.62184    2.5742521    8.3686659    8.4780323    584.98127
   18500    311.58461      0.00925   -1.0572343    1.3786731   -105.59663    2.2151509    8.3853118    8.4784524    586.17388
   18600    301.38826       0.0093   0.89132896    1.5978301   -105.86453    2.1426619    8.3881338    8.4788725     586.4002
   18700    268.23081      0.00935  -0.82643894    1.6347475   -105.88942    1.9069355    8.3580671    8.4792925    584.32724
   18800    255.69076       0.0094   0.52892396    1.8717811   -105.68416    1.8177843    8.4386502    8.4797126    589.99017
   18900    315.05074      0.00945   0.34190043    1.1999545   -105.34649    2.2397927    8.3555038    8.4801326    584.20591
   19000    307.98896       0.0095   -1.0804366    1.4955812   -105.28806    2.1895883    8.3659652    8.4805527    584.96633
   19100    314.49826      0.00955    1.0528846    1.9214497   -105.59147     2.235865    8.4537482    8.4809727    591.13358
   19200    311.84032       0.0096 -0.032835644    1.9383049   -105.87288    2.2169688    8.3135087    8.4813928    581.35605
   19300    247.43623      0.00965  -0.99554137    2.1209611   -105.69626    1.7591004    8.4130598    8.4818129     588.3467
   19400    298.98294       0.0097    1.4986893    2.3630307    -105.6794    2.1255618    8.4134265    8.4822329    588.40148
   19500    333.80003      0.00975   -1.4466047   0.83853466   -105.48075    2.3730872    8.2829357     8.482653    579.30416
   19600    262.80782       0.0098   0.17010828     1.895124   -105.10684    1.8683817    8.5096541     8.483073     595.1902
   19700    333.10645      0.00985    1.9191875    2.2143766   -105.56705    2.3681563    8.3619156    8.4834931     584.8859
   19800    292.03158       0.0099   -2.9130144    1.4735347   -105.53619    2.0761425    8.3227574    8.4839132    582.17575
   19900    249.92142      0.00995    1.8790657    2.1461465    -105.5887    1.7767683     8.496873    8.4843332    594.38454
   20000    288.32271         0.01   0.30421963    1.7742954   -105.70755    2.0497749     8.265894    8.4847533    578.25542
   20100    290.33665      0.01005   -1.9066734    1.4670895    -105.5645    2.0640926    8.3741248    8.4851733     585.8559
   20200    319.08063       0.0101    1.8008996    2.4346226     -105.349    2.2684424    8.4306008    8.4855934    589.83617
   20300    326.98666      0.01015  -0.89686101    1.3987975   -105.22605    2.3246489    8.3019417    8.4860134    580.86345
   20400    304.47872       0.0102  -0.70944189    1.2330025   -105.32115     2.164633    8.4567381    8.4864335    591.72341
   20500    275.60447      0.01025    2.1412356     2.122765   -105.47594    1.9593571    8.3851428    8.4868536    586.74289
   20600    287.65567       0.0103   -1.9166377    1.4176012   -105.60872    2.0450327    8.3322463    8.4872736    583.07036
   20700    351.26099      0.01035    0.5462483    1.8094624    -105.9255    2.4972226    8.4427354    8.4876937    590.83136
   20800    302.86287       0.0104   0.45020687    2.3524783     -105.419    2.1531454    8.3862063    8.4881137    586.90443
   20900    305.90893      0.01045  -0.92734744    1.9218816   -105.19452    2.1748008    8.3794911    8.4885338     586.4635
   21000    294.57297       0.0105   0.78141923    1.8929528   -104.93596      2.09421    8.4839617    8.4889539    593.80456
   21100    286.39978      0.01055   0.12593101    2.0427991   -105.24448    2.0361042    8.3446589    8.4893739    584.08347
   21200    283.89404       0.0106  -0.54961148    1.6844636   -105.68314    2.0182902    8.3994101     8.489794    587.94486
   21300    296.01341      0.01065   0.63507977     2.201091    -105.7043    2.1044505    8.4467708     8.490214    591.28929
   21400    328.09988       0.0107  -0.16938197    1.2918002   -105.67597    2.3325631    8.3041282    8.4906341     581.3328
   21500     327.5005      0.01075   -1.1026137    1.6858835   -105.34025    2.3283019    8.4612941    8.4910541    592.36455
   21600    390.02961       0.0108    1.8189891    1.5650788   -105.28195    2.7728406     8.411196    8.4914742    588.88638
   21700     346.5185      0.01085   -1.1740826    1.4143616   -105.38772    2.4635067    8.3501624    8.4918943     584.6422
   21800    333.61657       0.0109   0.16286406    1.7051292   -105.65862     2.371783    8.4452692    8.4923143    591.33042
   21900    332.81459      0.01095   0.61966993    1.1913863   -105.77611    2.3660814    8.3687169    8.4927344    585.99928
   22000    250.19109        0.011   -1.0520981    1.2262351   -105.36061    1.7786855    8.3513099    8.4931544    584.80931
   22100    299.07034      0.01105    0.6583982     1.830332   -105.55212    2.1261831    8.4394843    8.4935745    591.01305
   22200    341.56874       0.0111   0.43117704    1.6607118   -105.65153    2.4283173     8.362294    8.4939946    585.63641
   22300    331.04047      0.01115   -1.0501934    1.7836344   -105.20566    2.3534687    8.3648944    8.4944146    585.84749
   22400    338.78983       0.0112   0.46359096    1.7609928   -105.04346    2.4085613    8.4298903    8.4948347    590.42877
   22500    284.27819      0.01125   0.47808662    2.3275722   -105.28612    2.0210212    8.4022215    8.4952547    588.51995
   22600    273.43963       0.0113  -0.68023288    1.6523959   -105.47005    1.9439666    8.3465184    8.4956748    584.64723
   22700    263.64374      0.01135   0.11017321     1.948585   -105.40023    1.8743246    8.4292429    8.4960948    590.47101
   22800    294.91922       0.0114   0.57422408    1.7447656   -105.49874    2.0966715    8.3590351    8.4965149    585.58188
   22900    321.85001      0.01145  -0.85835457    1.7887921   -105.25914    2.2881308    8.3761766     8.496935    586.81172
   23000    335.13048       0.0115   0.54675575    1.2682206   -105.10708    2.3825458    8.4266281     8.497355     590.3754
   23100    310.71646      0.01155   0.39634299    1.1107889   -105.48852     2.208979    8.3233415    8.4977751    583.16789
   23200    260.03622       0.0116   -1.1042329    1.1926661   -105.49469    1.8486776    8.3941261    8.4981951    588.15643
   23300    302.46248      0.01165   0.83528448     1.860155   -105.77175     2.150299     8.427045    8.4986152    590.49216
   23400    322.34022       0.0117  0.029159422    1.8852166   -105.72945    2.2916159    8.3264685    8.4990352     583.4735
   23500     340.5636      0.01175  -0.91010986    1.6244479   -105.35465    2.4211715    8.4468486    8.4994553    591.93833
   23600    354.80222       0.0118    1.2905191    1.4729443   -105.52358    2.5223983    8.4318575    8.4998754    590.91699
   23700    339.23354      0.01185  -0.50009048    1.0477869   -105.72546    2.4117157    8.3116056    8.5002954    582.51834
   23800    311.47632       0.0119  -0.60116637    1.7462471   -105.64875    2.2143811    8.3805825    8.5007155    587.38161
   23900    300.29236      0.01195   0.76095069    2.2015867   -105.53976    2.1348708    8.3975343    8.5011355    588.59882
   24000    322.42223        0.012  -0.48560311    1.4677218   -105.53924     2.292199    8.3802687    8.5015556    587.41766
   24100    326.82768      0.01205   0.47753595    1.3573781   -105.34934    2.3235186    8.4040843    8.5019757    589.11613
   24200    302.67112       0.0121 -0.017980638    1.8440265   -105.11709    2.1517822    8.3321702    8.5023957     584.1039
   24300    293.70473      0.01215  -0.68697594    1.6416611    -105.4917    2.0880374    8.3944402    8.5028158    588.49824
   24400    269.92271       0.0122   0.67730354    2.3606869    -105.6351    1.9189637    8.4114796    8.5032358    589.72194
   24500    269.45074      0.01225   0.12467443    2.3467618   -105.52194    1.9156083    8.3378015    8.5036559     584.5853
   24600    312.27535       0.0123  -0.92555231    1.6360927   -105.49104    2.2200616    8.3934325    8.5040759     588.5148
   24700    332.65058      0.01235   0.92690873    2.0677716   -105.39461    2.3649154    8.4223536     8.504496    590.57181
   24800    323.86446       0.0124  -0.46098176    2.0158849   -105.01888    2.3024522    8.3717848    8.5049161    587.05494
   24900    381.01796      0.01245  0.081476442    1.9316616   -105.27159     2.708774    8.4390987    8.5053361    591.80443
   25000    312.21092       0.0125   0.60888613    2.1171529   -105.47201    2.2196036    8.3792307    8.5057562    587.63511
   25100    282.06616      0.01255  -0.82920705    1.7569858   -105.51005    2.0052952    8.3506117    8.5061762    585.65698
